Emotion,clean_text
anger,yes fill form anyway emergency room
joy,one greatest joiy succeded acquiring motorcycle efforts
sadness,sometimes alone seized feeling always helps come round time judge worth often feeling caused people friends love respect
joy,returning school rejoining girlfriend months separation summer
sadness,first girlfriend left
sadness,kurzlinger hated voss done man grief murdered love underestimated
sadness,well leaving japan going back london tomorrow
fear,johnnorlin tells us sacrificed others tells us time worry future xa xa luke
anger,soud like neighbours hell
anger,exasperated galileo able show inadequacy rival position characteristically witty way
fear,horrified mother made public appeal return ring given husband alfed years ago
anger,oh men
neutral,winning piece cake
joy,mr mitterrand appears delighted ultra courteous edouard balladur socialists wonder whether last found prime minister dreams
fear,lived flat couple woman jealous sometimes crying fits eventually husband could stand wanted kill
sadness,uncle died vietnam war
fear,afraid beginning look little overweight really need stop smoking main reason unhealthy
anger,people without permission pry belongings take things
neutral,boston
joy,cousin mine discharged hospital long illness thought illness would never end
anger,argument best friend thought right
sadness,come back village last christmas
joy,sure like
anger,looked exasperation gazed wide deep blue eyes
sadness,colleague failed contact arranged time
anger,school dance supposed best friend kept walking away whenever came near
joy,lovely weather help water flowers jack
sadness,finished first draft professor said poorly written rewrite depressing
anger,really looking forward getting away far away
fear,travelling back home boat two friends mine lovely holiday trip night sea dark wind blowing feared death boat somehow felt sure feared left alone
joy,day got know would get shared dwelling boyfriend parents place getting little crowded growing bother wanting room first felt doubt joy also sadness feeling joy strongest
neutral,people get married young
neutral,oh remember cut terrible calls say anything
fear,failed first exam higher institute
sadness,plodding lugubrious fellow delighted wodehousian name
anger,ok let go one time want anymore ruined dyed blouses
neutral,happened quarrel
neutral,hi jim
neutral,speak english class teacher explain everything spanish
sadness,oh sorry interrupt calling say goodbye awfully sorry tell afraid could see airport tomorrow attend important meeting
fear,possibility failed examination
fear,cantor sing psalms church several weeks ago sing organist tell time know psalm afraid said could sing
sadness,christmas day grandmother died received news coming back party th
sadness,found could go concert buying tickets biology test occurred morning
joy,getting university
fear,bad really like
fear,ok im scared im one house guess im going sleep
joy,got points exam statistics result unexpected made realize statistics surpass abilities sometimes thought
fear,relatives car going slowly frozen road
joy,received result slip higher level examination university entrance exam saw good possibility accepted university felt excited
joy,going village rather oppressed madrid
neutral,mine little young suggest wait late twenties even early thirties good career
anger,outrageous conduct relative towards close blaming us lying
neutral,also feel work efficiency high strong working ability professional skill seems know really wonderful
joy,best man brother wedding year ago
fear,almost fell rocks acting foolishly playing dangerously
joy,minton sober workmanlike drawings instance delight registering rhythmic activity industrial shapes
